,text,label
0,Why Is The Pope Upset?  via @user #UnzippedTruth #PopeFrancis #SemST,0
1,We support Australia's Climate Roundtable which is providing a framework for sensible debate ahead of Paris @user #SemST,2
2,It's nights like this when I'm not so fond of my long hair. I just wanna chop it all off! #heatwave #pnwgirl #SemST,0
3,#Republican party will go down in history books as party that stood in the way of #gayrights and initiative to reverse #SemST,0
4,"RT @user @user We need degrowth - stop destroying our planet, BP. #SemST",2
5,"@user - #Wrong #century re the #IPCCreport & the involved #methodology I do have to say, ""regards Dion #peace #ideology #SemST",0
6,Thanks #MarcLevine & #Ilike_Mike for supporting legislation on #SemST,0
7,That awkward moment when a pro-coal PR campaign has over 100K more followers than you do: @user #greenwashing #SemST,2
8,"Attenborough: 'The real problem is global' i.e. not just me, or you, but us #SemST",2
9,#Technology is a sign of how far we have come! The #ideology of #capitalism is a sign of how far we have to go! #Methodology #SemST,0
10,@user I'm just happy he's telling the @user to wise up RE: #SemST,0
11,"Isn't CO2 impact on warming logarithmic, and at current levels, 390 ppm, incremental impact negligible? #NDP #SemST",2
12,@user Those items need to come back.  #SemST,0
13,Try to create the world you want to live in. @user #WithCompassion #SemST,0
14,@user wow that is certainly an extreme prognostication! #gop #libertarian #SemST,0
15,RT @user 700 people dead in Pakistan due to heatwave. #SemST,2
16,"Audio world, look out! There's a new sheriff in town   #audio #music #world #entrepreneur #love #life #SemST",0
17,@user @user i always said that Democrats would tax the weather if they could #SemST,0
18,#vatican will be destroyed the most vile creatures ever the creators of #islam #sodomising #children  #fakestine and #SemST,0
19,At the UN with crew now :) @user #SemST,0
20,@user @user @user @user @user I think we found something more dangerous to America than #SemST,0
21,@user @user @user @user Further proof of #SemST,0
22,And Onan cast his CO2 into the atmosphere and committed the sin of emission #bible #SemST,2
23,@user it's crazy. Oklahoma is bracing for more flooding rains (4th cycle this year) & Canada is burning. #SemST,2
24,Negative times a negative equals a positive...wonder if that applies to emotions too??? #manthoughts #sustainablehumans #SemST,0
25,Disappointed that we are basing decisions about our very real planet on a man made currency system. #SCOTUS #EPA #SemST,2
26,Rent a theatre and show the movie #ChasingIce to my friends and family to spread the message of global warming. #My1500 #SemST,2
27,#MainauDeclaration2015 60 years later..#LiNo15 Laureates and young scientists say it is time to act #SemST,2
28,RT @user @user Looks like a great event. Green is the way forward! #SemST,2
29,5-6 inches of rain in a day & from next day there is no rain at all. Temperature reaches 39 C in #Ahmedabad.  #environment #SemST,2
30,".@TonyAbbottMHR still boasting on international stage of removing Price on Carbon, which he refers to as ""toxic tax"" #auspol #SemST",0
31,@user @user Great news to arrest a regulatory agency's flagrant over reach. Pathetic how little #EPA knows of #SemST,2
32,Dear #seattleweather please stay exactly how you are right now. #thismorning #okaythanksbye #SemST,0
33,srsly weirds me out i have to wear #sunscreen for the morning #dogwalk getting a #tan at 9am? #wtf #SemST,2
34,It's hot af in #seattle. This is not normal! #hotAF #SemST,2
35,#PathtoPositive #LA region's green leaders United to find local solutions to #LACityHall #SemST,2
36,"Obamacare ""Doctors Should Warn Global Warmin cud Make Patients' Health Worse"" #Obama #PresidentObama #WhiteHouse #SemST",2
37,Tornado warnings for the UK this weekend.  And the government still chooses to ignore global warming #ukweather #SemST,2
38,#Tolerance... I wonder how much more #Mother #Earth has at #methodology levels re our #capitalistic #ideologies? #SemST,2
39,SA has played an instrumental role in rallying other BASIC countries to strengthen South-South cooperation on matters around #SemST,0
40,#KCA #VoteJKT48ID ENGIEgroup: #ENGIE 9 new #COP21 solutions and more here >  #SemST,0
41,".@msimire says children, women, elderly people especially at risk to health impacts of #ClimateReporting2015 #SemST",2
42,"@user #GOPClownCar a shame #gop considers ""HRC emails"" more disconcerting than #jobs #infrastructure #education #SemST",0
43,Anyone else agree we should switch to concrete? + Them new snazzy self-lit roads in Netherlands! #ElectricitySaving #Autobahn #SemST,2
44,@user @user You're proud of that? #ShoalLake #boilwater #FortChip #cancer #Vanuatu #BalaFalls #landscapingissues #SemST,0
45,"I love this Pope. I don't care what religion you are, this guy is awesome. #SemST",0
46,"If you have any remaining doubts about climate change, go watch @user on Netflix and proceed to shitting your pants. #SemST",2
47,"Being an engaged mom, means voting 4 the climate 2. Supporting only candidates who have a plan 2  act on #playin4climate #SemST",2
48,WHEN THE WELL IS DRY WE KNOW THE VALUE OF #WATER: Ben Franklin #ActOnClimate #EPA #SemST,2
49,"these days this I #know! I #implemented it years ago & simply walked away but I know, regards Dion #peace #Democracy! #Goal?? #SemST",0
50,Amazing interview with @user and David Attenborough #SemST,0
