,text,label
0,If a man demanded staff to get him an ice tea he'd be called a sexists elitist pig.. Oink oink #Hillary #SemST,1
1,"We're out here in G-town, and where are you  #sctweets #SemST",0
2,If you're not watching @user speech right now you're missing her drop tons of wisdom. #SemST,2
3,How can she live with herself? #Benghazi #SemST,1
4,"Jimmy Fallon music playing. Thank you .... #DonaldTrump  ... for driving Latinos and Gays out to vote by the millions.  Love,  #SemST",0
5,When you fav supports the wrong candidate  (@ladygaga)  #Bernie2016 #SemST,0
6,Yes HRC subject 2 dbl standard Smh Come on @user @user U Knew @user Donations Would b Scrutinized; Spun!,1
7,@user and the sheeple will still vote for her #SemST,1
8,"It's Monday night,do you know where your Hillary supporters are? In Rock Hill at our Amazing Phone bank! Come join!HillaryforSC #SemST",2
9,@user let's go shoot your now today. #SemST,0
10,@user you are set to lose if ur campaign is based on critics instead of proposing #bushfail #SemST,0
11,@user @user @user  Thank you so much for FAVs and RTs!!! #WakeUpAmerica #SemST,0
12,I will be there when your little tree has run out of smell. #ThatChampion #SemST,0
13,@user hey I just checked your blog. Kudos! Keep it up! #SemST,1
14,"@user we lost 4,000 of our Military boys when your President pulled out of Iraq.  #LiberalConsequences  #SemST",1
15,"Despite today's ruling, our struggle to end LGBT discrimination is also far from finished - @user #VirginiaJJ #SemST",2
16,@user   #wgn #WGNTV - now mentions ROMNEY? #Hillary CARE = ROMNEY CARE = #Obamacare -- now PUBLIC OPTION for ALL #SemST,0
17,I can vote in 2016 after all ayyyyyyyyyy #SemST,0
18,Much like you good people I forgot about my #livetweetingbladerunner a couple weeks ago #callback #potroast #cartography #blue #SemST,0
19,#Univision ignores Latino candidate Marco Rubio because he doesn't fit their narrative.They're invested with Hillary #rubio2016 #SemST,1
20,The most revealing part about Hillary's released emails is that they're pretty much as boring as mine. #nofriends #SemST,1
21,Lol why do so many people around here hate Hillary?  #SemST,2
22,@user @user Fortunately Bryan he does not have a saying on that  #freeallfour #SemST,1
23,@user @user Hillary's New Campaign slogan is:  HILLARY - NOTHING TO HIDE BUT THE TRUTH!  #tcot #WakeUpAmerica #SemST,1
24,Hopefully Hillary Clinton gets cancer and dies before she gets the opportunity to embarrass our country any further. #july4th #SemST,1
25,@user it must be hard work burying the @user anti-LGBT rights record #LoveWins #FeelTheBern #SemST,1
26,I wish Bernie's fans would stop screaming. #Bernie2016 #SemST,1
27,"Trump's inauguration speech (God Forbid)!!.....Me-me-me-me-China-me-me,""did i mention me yet!?..where's my hairspray China #SemST",1
28,Lets remember #dickcheney is an unindicted war criminal b4 we start yelling #Benghazi day after day. Will we ever see justice? #SemST,0
29,"I am a big HILLARY Clinton supporter. My plan is working, poor Donnie doesn't even know. #Trump2016 #SemST",1
30,"@user @user Totally agree, Hillary is an incompetent scandal ridden phony. #SemST",1
31,Obama give Americans OVERTIME Pay! Republicans give Americans Welfare Checks! #tcot #UniteBlue #SemST,1
32,@user NOT EVEN A LITTLE BIT!!! #Nobama #WeMissYouGipper #SemST,0
33,@user Will #pervert #BillClinton be there if winner is teen girl? #HillaryClinton #Democrats #liberals #tlot #GOP #SemST,1
34,"@user @user shhh, go get me an iced tea..... #SemST",1
35,"@user ""@HillaryClinton can't even manage @user and she wants to be @user #lol #WakeUpAmerica #StopHillary2016 #SemST",1
36,#AskBobby would you blame an obscure film maker for the death of #USAmbassador in #Benghazi like #SemST,1
37,Hillary's New Campaign slogan is:  HILLARY - NOTHING TO HIDE BUT THE TRUTH!  #tcot #WakeUpAmerica #SemST,1
38,@user Is there anything about the Clintons that is not fraudulent? #SemST,1
39,"Hillary LIES, yet people still desire her as the President of the United States. #sad #SemST",1
40,This weekend is the Hillary For America Weekend of Action & I hope you'll participate. -L #California #SemST,2
41,"@user report shows U.S. State Department cannot locate 15 of Hillary Clinton's Private Emails.  Not so fast, Hillary! #SemST",1
42,"#HillaryClinton might want to book smaller venues for her rallies, if not many empty seats will be seen on TV, that's bad lol #SemST",1
43,@user including repealing the first amendment. Way to go,1
44,@user @user   Support encourage #HillaryClinton president #UnitedStates world is success of women in  world #SemST,2
45,@user Remember when millions of GWBush's emails went missing or deleted re Iraq War and nobody had a hearing? Yawn! #SemST,0
46,@user Did you feel same about #BillClinton's latest assault of teen girl? #hypocrite #HillaryClinton #Hillary_2016_NO #SemST,1
47,"#DemocRAT2014Slogans: ""Why work? When you can VOTE DemocRAT - twice!"" #tcot #SemST",1
48,"Everything Hillary touches ends up being a scam, a lie, a cover-up, or a failure. William L. Just who we want as president.",1
49,"In high school, decided to be the first woman president in 2016, but I never got into politics & don't have Trump's money. #SemST",0
50,@user Exactly what I don't want to see happen in America. #SemST,1
51,@user I want you to President for a 3rd term!!! Please make it happen LOL! I'm fine with #SemST,1
52,Great to see my mentor @user at #DCinSD. And she's right we have the most qualified candidate ever running for POTUS. #SemST,2
