,text,label
0,@user @user is the UK's answer to @user and @user  #GamerGate #SemST,1
1,@user @user nah abi gonna get married to a rich white guy and gonna give me half of the money when they're divorced #SemST,0
2,RT @user Look for our latest indiegogo campaign coming out soon to help turn young girls into great leaders. #womensrights #SemST,2
3,@user what's so wrong with getting dick? How come when guys do it they're praised for it? YOU SEXIST #SemST,2
4,Sehri time seems to be turning into let's get my dad woke. #racepolitics #ableism #Ramadan #SemST,0
5,and when men can only empathize if they picture their daughter going through the same thing. #SemST,2
6,Woman: you see me as a sex object! Me: you see me as an atm. #SemST,1
7,"@user No one wants to see #Feminists naked, so the petty, vindictive bytches want to drag everyone else down to their level. #SemST",1
8,We are actually watching a video on radical feminism in history this is the funniest movie ive ever seen #SemST,1
9,"@user insulting, thinking you can make a switch like that. if it wasn't written for us, it wasn't for us #SemST",0
10,"#LikeAFeminist if you don't identify as a feminist, clearly you don't love yourself sweetie. #SemST",2
11,"@user @user why is men in front of women, you misogynistic pig #SemST",2
12,How to spot a fashion-#Feminist - they claim feminism is about equality. Feminist actions demonstrate otherwise. #SemST,1
13,"With or without this farmer's tan, I bang bare bitches #MisogynistColloquialisms #DontSayBitch #SemST",0
14,.@cooImemegirl Damn that wage gap! Sneaky men work longer hours in dangerous jobs and get paid for it! #SemST,1
15,#HowToSpotAFeminist?-> 3 Feminists believe in rape culture instead of their erotomania + delusions of persecution.   #SemST,1
16,Women should come with a money-back guarantee. If this doesn't work out because you're a dumb bitch I should get my money back. #SemST,1
17,"As a child, had to 'recycle' own socks from festering laundry heap, as feminist mother says ""I'm not your slave! #SemST",1
18,I wonder when my feminism top is gonna arrive.. I need a bit of happiness with the stress of studying #collegelife #SemST,2
19,"Friendly reminder that the ""Gender Pay Gap"" is a myth. #SemST",1
20,Staying well informed on sexual violence in the news is important yet often leaves me ranting at screen. #rapeculture #SemST,2
21,Why don't you love me Twitter #SemST,0
22,".@cooImemegirl Feminists believe mothers should have a say over the father's body, his job, and his money. #SemST",1
23,"Feminists saying they are ""atheists/skeptics"" is quite a contradiction as they worship their own vulva.   #GamerGate #SemST",1
24,I'm blocked by 4 of the most frequent posters on #YesAllWomen. 2 of which I've never even debated with. Can't handle facts  #SemST,1
25,"@user @user Well you are right, its pointless for you to try. Youre still an example of why there are #SemST",0
26,"It is not up to you to contemplate getting fired, feminists WILL get you fired @user @user  #GamerGate  #SemST",1
27,"You are not penetrating our vaginas, we,  WE ARE ENGULFING YOUR PENISES!  #insideamyschumer #SemST",2
28,The statistics show that male victims of rape are more likely to be straight than gay. #SemST,0
29,Women in Hollywood are still getting paid less. It is 2015. #SemST,2
30,texting my bf telling him to shave today so i find him optimally bangable next time i see him #SemST,1
31,"IF FEMINISTS WERE HONEST  ""Be careful, if you use logic in this conversation I will somehow drag it into rape""  #SemST",1
32,Feminism is nothing more than a cult that closes ranks whenever someone dares question them. #SemST,1
33,"'Half victims, half accomplices, like everyone else' Simone De Beavoir #SemST",0
34,I won't complain about equal rep of girls in gaming. Princess Peach & Zelda are kick-ass women. Samus is a beast. Hello! #gaming #SemST,2
35,"Towie catchup, totally agree with ferne #TOWIE #SemST",0
36,"Im sorry if you going to be with me and call me ""you women"" like im a cadigory ill probably but boot out the door #SemST",2
37,It's not about making women stronger. Women are already strong. It's about changing the way the world perceives that strength ! #SemST,2
38,FINALLY A WOMEN RUNNING FOR PRESIDENT #SemST,2
39,"I'm honestly surprised that feminist extremists like @user aren't screaming ""sexist!!"" at gay men. #SemST",1
40,Just been putting the finishing touches to a feminist-themed cryptic crossword... Standard. #crosswords #SemST,2
41,Abusive Misogynist  @user whining that feminists are blocking him. Let's make his day and all bock him. #YesAllWomen #SemST,2
42,Seriously can't believe they gave the women heat breaks and not the men #Wimbledon #SemST,1
43,Charlotte Church interviewing Pussy Riot at #Glasto2015 #fuckyeahglasto #SemST,0
44,I can't believe some of the reasons people say they need feminism. I need my dog for half of the same reasons.  #antifeminist #SemST,1
45,I love that girl @user on @user What the hell @user Way to diminish women's soccer #USWNT #SemST,2
46,@user @user the fact you asked someone you blocked If they were now happy.....#SpankAFeminist #SemST,1
47,At the WGSS Discussion Forum at #alaac15. Love these librarians! #fuckyeahlibrarians #SemST,0
48,Because young girls are told not to be raped instead of telling boys not to rape #SemST,2
49,RT @user I support whatever team buck supports #truefan #socceroos #bodypositive #SemST,0
50,.@brigadam @user The child could be seized for adoption to prolife couples or raised by mom alone - no $$. #SemST,0
51,"@user Do realise that you've painted all ""men"" with the same brush. So ""wilfully ignorant"" could be used to describe you #fail #SemST",1
52,"If we have equality women wouldn't be expected to submit to the ""traditions"" of marriage. #genderequality #SemST",2
53,"Their other complaints are just fake shit they made up, this on the other hand is amazingly controlling and entitled 2/ #SemST",1
54,RT @user Nothing like dudes joking about molesting me right to my face... #SemST,2
55,They don't call it MALE-volent for no reason #SemST,2
56,They want equality but what they're doing is overpowering men. #feminazi #SemST,1
57,so i guess the new definition of ugly is believing in equal rights... LET ME BE UGLY THEN #SemST,2
58,I just yelled at my boyfriend for trying to let me win for Mortal Kombat X. #SemST,2
59,Feminists spread misandry. Always try two  create gender conflicts.   #FeminismIsCruelty #dontmancriminate #SemST,1
60,im a strong independent black woman who don't need no daddy #lol #girlpower #SemST,2
61,@user yeah! I don't need feminism as I like it when my boyfriend chips in on food shops.Also I am too pretty.obvs #SemST,1
62,".@brigadam @user You just made the best case against feminist ""equality"" ever! Fuck feminism! #SemST",1
63,"@user @user @user ""running your dick sucker"" yes because THAT is the purpose of your mouth lol #SemST",1
64,"I guess crying over a NHL player is better/safer than getting violent over one, right? #Saad #Blackhawks #SemST",1
65,Lol what's so ugly about wanting to be equal? #SemST,2
66,"So, I'm following @user lead & embracing the term #badfeminist. I'm too far from perfect and still learning. #SemST",2
67,.@diistantecho Your wee sister believes in both Santa Claus and feminism. Think harder about what that means. #SemST,1
68,were even is the clifford on a Virginia? #stophidingit #SemST,0
69,The problem with liberals' tolerance is that it is only extended to those who agree with them #tcot #SemST,0
70,Just give me the attention you never gave anyone else. #ExtremeRules #NepalEarthquake #FreddieGray #RHOAReunion #SemST,0
